UID,movie,how_long_ago
297,Mission: Impossible II (2000),1to5
297,Dumb & Dumber (1994),6to10
297,"Fifth Element, The (1997)",6to10
297,"Godfather, The (1972)",6to10
297,Forrest Gump (1994),6to10
297,"Shawshank Redemption, The (1994)",6to10
297,Kill Bill: Vol. 2 (2004),6to10
297,Back to the Future (1985),6to10
297,Braveheart (1995),6to10
297,"Godfather: Part II, The (1974)",6to10
299,Charlie's Angels (2000),1to5
299,Pretty Woman (1990),gt10
299,"Nightmare Before Christmas, The (1993)",6to10
299,Apocalypse Now (1979),gt10
299,Toy Story (1995),6to10
299,"Truman Show, The (1998)",gt10
299,Independence Day (a.k.a. ID4) (1996),gt10
299,Back to the Future (1985),gt10
299,Epic Movie (2007),1to5
299,Terminator 2: Judgment Day (1991),gt10
301,Star Wars: Episode IV - A New Hope (1977),1
301,While You Were Sleeping (1995),1to5
301,"Usual Suspects, The (1995)",1to5
301,National Treasure (2004),1to5
301,"Mask, The (1994)",6to10
301,Seven (a.k.a. Se7en) (1995),6to10
301,Epic Movie (2007),1to5
301,Schindler's List (1993),1to5
301,Pi (1998),1to5
301,"American President, The (1995)",1to5
300,"Truman Show, The (1998)",1
300,Into the Wild (2007),1to5
300,Blade Runner (1982),1to5
300,Pirates of the Caribbean: The Curse of the Black Pearl (2003),1to5
300,Trainspotting (1996),1
300,Batman Forever (1995),6to10
300,Titanic (1997),1
300,Die Hard (1988),1to5
300,Alien (1979),6to10
300,American Beauty (1999),6to10
304,Men in Black (a.k.a. MIB) (1997),6to10
304,Apocalypse Now (1979),gt10
304,"Godfather: Part II, The (1974)",gt10
304,Natural Born Killers (1994),6to10
304,Terminator 2: Judgment Day (1991),gt10
304,Braveheart (1995),gt10
304,"Truman Show, The (1998)",1to5
304,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),6to10
304,Pulp Fiction (1994),gt10
304,Dumb & Dumber (1994),gt10
303,Braveheart (1995),1to5
303,Star Wars: Episode V - The Empire Strikes Back (1980),1
303,"Truman Show, The (1998)",1
303,"Goonies, The (1985)",1to5
303,Blade Runner (1982),6to10
303,Back to the Future Part III (1990),6to10
303,"Rock, The (1996)",1to5
303,Star Wars: Episode VI - Return of the Jedi (1983),1
303,Princess Mononoke (Mononoke-hime) (1997),gt10
303,True Lies (1994),6to10
305,Edward Scissorhands (1990),1
305,Toy Story (1995),gt10
305,Groundhog Day (1993),1to5
305,Slumdog Millionaire (2008),gt10
305,"Pagemaster, The (1994)",gt10
305,"Clockwork Orange, A (1971)",6to10
305,Willy Wonka & the Chocolate Factory (1971),1to5
305,"Matrix, The (1999)",gt10
305,"Silence of the Lambs, The (1991)",6to10
305,"Fifth Element, The (1997)",gt10
307,Pirates of the Caribbean: Dead Man's Chest (2006),1
307,Mission: Impossible II (2000),1to5
307,Kill Bill: Vol. 2 (2004),1
307,Blade Runner (1982),6to10
307,Braveheart (1995),1
307,Men in Black (a.k.a. MIB) (1997),1
307,Fahrenheit 9/11 (2004),1to5
307,"Day After Tomorrow, The (2004)",1to5
307,"Wizard of Oz, The (1939)",1
307,Die Hard (1988),1
308,"Lion King, The (1994)",6to10
308,Toy Story (1995),6to10
308,"Lord of the Rings: The Two Towers, The (2002)",1to5
308,Men in Black (a.k.a. MIB) (1997),1to5
308,"Godfather: Part II, The (1974)",6to10
308,"Day After Tomorrow, The (2004)",1to5
308,Willy Wonka & the Chocolate Factory (1971),6to10
308,"Little Princess, A (1995)",6to10
308,Pirates of the Caribbean: Dead Man's Chest (2006),6to10
308,Titanic (1997),6to10
309,American Beauty (1999),1
309,Men in Black (a.k.a. MIB) (1997),1
309,Pulp Fiction (1994),1
309,Brazil (1985),1to5
309,Monty Python's Life of Brian (1979),1
309,Terminator 2: Judgment Day (1991),1
309,"Godfather, The (1972)",1
309,Casablanca (1942),1
309,Trainspotting (1996),1to5
309,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",1
312,Forrest Gump (1994),6to10
312,"Nightmare Before Christmas, The (1993)",gt10
312,"Pianist, The (2002)",6to10
312,Edward Scissorhands (1990),6to10
312,Apollo 13 (1995),6to10
312,Jurassic Park (1993),gt10
312,"Lion King, The (1994)",gt10
312,"Matrix, The (1999)",6to10
312,Toy Story (1995),gt10
312,Epic Movie (2007),6to10
317,"Wizard of Oz, The (1939)",1
317,M*A*S*H (a.k.a. MASH) (1970),1to5
317,Monty Python and the Holy Grail (1975),1to5
317,You've Got Mail (1998),1
317,"Mask, The (1994)",6to10
317,It's a Wonderful Life (1946),1
317,Aladdin (1992),1to5
317,One Flew Over the Cuckoo's Nest (1975),6to10
317,"Godfather, The (1972)",1
317,Taxi Driver (1976),6to10
319,M*A*S*H (a.k.a. MASH) (1970),gt10
319,Fight Club (1999),1
319,Groundhog Day (1993),1
319,One Flew Over the Cuckoo's Nest (1975),1to5
319,It's a Wonderful Life (1946),1
319,Being John Malkovich (1999),gt10
319,Babe (1995),gt10
319,Taxi Driver (1976),1
319,Monty Python and the Holy Grail (1975),1
319,Stargate (1994),gt10
320,"Little Princess, A (1995)",1to5
320,Babe (1995),1to5
320,Aliens (1986),6to10
320,Star Wars: Episode IV - A New Hope (1977),6to10
320,"Godfather: Part II, The (1974)",6to10
320,Star Wars: Episode V - The Empire Strikes Back (1980),gt10
320,Titanic (1997),gt10
320,Twister (1996),6to10
320,True Lies (1994),gt10
320,"Lion King, The (1994)",gt10
321,Star Wars: Episode VI - Return of the Jedi (1983),gt10
321,Into the Wild (2007),gt10
321,Minority Report (2002),gt10
321,Trainspotting (1996),6to10
321,Star Wars: Episode V - The Empire Strikes Back (1980),gt10
321,Apocalypse Now (1979),gt10
321,"Truman Show, The (1998)",gt10
321,Star Wars: Episode IV - A New Hope (1977),gt10
321,"Lord of the Rings: The Two Towers, The (2002)",gt10
321,Blade Runner (1982),gt10
318,Slumdog Millionaire (2008),6to10
318,"Matrix, The (1999)",gt10
318,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),6to10
318,Forrest Gump (1994),1to5
318,Life Is Beautiful (La Vita è bella) (1997),1to5
318,Fight Club (1999),6to10
318,Seven (a.k.a. Se7en) (1995),1to5
318,Pulp Fiction (1994),1
318,"Truman Show, The (1998)",1to5
318,Kill Bill: Vol. 1 (2003),1
322,Mrs. Doubtfire (1993),1to5
322,Star Wars: Episode IV - A New Hope (1977),1to5
322,"English Patient, The (1996)",6to10
322,Titanic (1997),6to10
322,You've Got Mail (1998),6to10
322,Willy Wonka & the Chocolate Factory (1971),6to10
322,"Silence of the Lambs, The (1991)",gt10
322,"Truman Show, The (1998)",6to10
322,Die Hard (1988),6to10
322,It's a Wonderful Life (1946),1to5
323,"Matrix Reloaded, The (2003)",gt10
323,Terminator 2: Judgment Day (1991),gt10
323,Ace Ventura: When Nature Calls (1995),gt10
323,True Lies (1994),gt10
323,Ace Ventura: Pet Detective (1994),gt10
323,Dumb & Dumber (1994),gt10
323,Star Wars: Episode VI - Return of the Jedi (1983),gt10
323,Men in Black (a.k.a. MIB) (1997),6to10
323,"Day After Tomorrow, The (2004)",gt10
323,Mission: Impossible II (2000),6to10
325,Terminator 2: Judgment Day (1991),1to5
325,Pi (1998),1to5
325,Kill Bill: Vol. 1 (2003),1to5
325,Charlie's Angels (2000),6to10
325,Kill Bill: Vol. 2 (2004),1to5
325,Jurassic Park (1993),gt10
325,Pulp Fiction (1994),gt10
325,Slumdog Millionaire (2008),1
325,Titanic (1997),1to5
325,Men in Black (a.k.a. MIB) (1997),gt10
326,Seven Samurai (Shichinin no samurai) (1954),1to5
326,"Matrix Reloaded, The (2003)",1to5
326,Minority Report (2002),1
326,Toy Story (1995),1to5
326,Fight Club (1999),1to5
326,American History X (1998),1to5
326,"Pianist, The (2002)",1to5
326,Titanic (1997),1to5
326,"Fifth Element, The (1997)",1to5
326,Blade Runner (1982),1to5
327,L.A. Confidential (1997),gt10
327,Waterworld (1995),gt10
327,Edward Scissorhands (1990),gt10
327,Kill Bill: Vol. 2 (2004),6to10
327,Mission: Impossible II (2000),6to10
327,Babe (1995),gt10
327,"Godfather, The (1972)",gt10
327,Pulp Fiction (1994),gt10
327,Mrs. Doubtfire (1993),gt10
327,"English Patient, The (1996)",gt10
328,Groundhog Day (1993),gt10
328,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),gt10
328,It's a Wonderful Life (1946),gt10
328,"Day After Tomorrow, The (2004)",6to10
328,Back to the Future (1985),gt10
328,Jurassic Park (1993),gt10
328,Back to the Future Part III (1990),gt10
328,Men in Black (a.k.a. MIB) (1997),gt10
328,Toy Story (1995),gt10
328,Willy Wonka & the Chocolate Factory (1971),gt10
332,Mulholland Drive (2001),gt10
332,Braveheart (1995),6to10
332,Kill Bill: Vol. 2 (2004),6to10
332,"Matrix Reloaded, The (2003)",6to10
332,"Pianist, The (2002)",6to10
332,"Clockwork Orange, A (1971)",gt10
332,Pirates of the Caribbean: The Curse of the Black Pearl (2003),6to10
332,"Blair Witch Project, The (1999)",gt10
332,Back to the Future Part III (1990),gt10
332,Forrest Gump (1994),gt10
334,Charlie's Angels (2000),1to5
334,Beauty and the Beast (1991),1
334,Titanic (1997),1to5
334,Twister (1996),6to10
334,"Day After Tomorrow, The (2004)",gt10
334,Pi (1998),gt10
334,Jurassic Park (1993),gt10
334,Pirates of the Caribbean: The Curse of the Black Pearl (2003),6to10
334,True Lies (1994),-1
334,Terminator 2: Judgment Day (1991),-1
335,"Pianist, The (2002)",1to5
335,Toy Story (1995),1to5
335,"Lion King, The (1994)",gt10
335,"Mask, The (1994)",gt10
335,You've Got Mail (1998),6to10
335,"Rock, The (1996)",-1
335,Dumb & Dumber (1994),6to10
335,Pirates of the Caribbean: The Curse of the Black Pearl (2003),6to10
335,Pulp Fiction (1994),6to10
335,"Matrix Reloaded, The (2003)",gt10
338,"Matrix Reloaded, The (2003)",6to10
338,"Godfather, The (1972)",gt10
338,Pirates of the Caribbean: Dead Man's Chest (2006),6to10
338,"Day After Tomorrow, The (2004)",1to5
338,Titanic (1997),gt10
338,Slumdog Millionaire (2008),6to10
338,Back to the Future (1985),gt10
338,"Lord of the Rings: The Two Towers, The (2002)",6to10
338,Mission: Impossible II (2000),1to5
338,Pirates of the Caribbean: The Curse of the Black Pearl (2003),6to10
339,Titanic (1997),gt10
339,One Flew Over the Cuckoo's Nest (1975),gt10
339,"Silence of the Lambs, The (1991)",gt10
339,Forrest Gump (1994),gt10
339,"Wizard of Oz, The (1939)",6to10
339,Contact (1997),6to10
339,Mrs. Doubtfire (1993),gt10
339,Slumdog Millionaire (2008),6to10
339,Fargo (1996),gt10
339,"Mask, The (1994)",gt10
340,"Princess Bride, The (1987)",1to5
340,Natural Born Killers (1994),1
340,Schindler's List (1993),1
340,Random Hearts (1999),1to5
340,Hoop Dreams (1994),1
340,It's a Wonderful Life (1946),1to5
340,Jurassic Park (1993),1to5
340,Star Wars: Episode V - The Empire Strikes Back (1980),1
340,Men in Black (a.k.a. MIB) (1997),-1
340,Star Wars: Episode VI - Return of the Jedi (1983),-1
342,Casablanca (1942),gt10
342,Fargo (1996),1to5
342,True Lies (1994),1to5
342,Dogma (1999),gt10
342,American History X (1998),gt10
342,"Blair Witch Project, The (1999)",1
342,National Treasure (2004),6to10
342,"Lion King, The (1994)",gt10
342,My Cousin Vinny (1992),gt10
342,Jurassic Park (1993),1
311,Forrest Gump (1994),1
311,Titanic (1997),1to5
311,Into the Wild (2007),1
311,Life Is Beautiful (La Vita è bella) (1997),1to5
311,Trainspotting (1996),1to5
311,"Lion King, The (1994)",1
311,"Truman Show, The (1998)",1
311,Mrs. Doubtfire (1993),6to10
311,Batman (1989),6to10
311,Pirates of the Caribbean: The Curse of the Black Pearl (2003),6to10
354,Beetlejuice (1988),gt10
354,Dances with Wolves (1990),gt10
354,Ace Ventura: Pet Detective (1994),gt10
354,Fight Club (1999),gt10
354,Men in Black (a.k.a. MIB) (1997),gt10
354,"Pianist, The (2002)",gt10
354,"Usual Suspects, The (1995)",gt10
354,Lethal Weapon 3 (1992),gt10
354,Charlie's Angels (2000),gt10
354,Pretty Woman (1990),gt10
358,"Wizard of Oz, The (1939)",gt10
358,Jurassic Park (1993),gt10
358,Beetlejuice (1988),gt10
358,Men in Black (a.k.a. MIB) (1997),gt10
358,Toy Story (1995),gt10
358,"Mask, The (1994)",gt10
358,Aladdin (1992),gt10
358,Groundhog Day (1993),gt10
358,Willy Wonka & the Chocolate Factory (1971),gt10
358,"Princess Bride, The (1987)",gt10
357,Slumdog Millionaire (2008),1to5
357,Braveheart (1995),6to10
357,Beetlejuice (1988),1
357,Being John Malkovich (1999),6to10
357,Kill Bill: Vol. 1 (2003),1to5
357,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),gt10
357,Edward Scissorhands (1990),1to5
357,Fight Club (1999),6to10
357,Trainspotting (1996),6to10
357,Dead Man Walking (1995),6to10
359,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",1
359,Willy Wonka & the Chocolate Factory (1971),1to5
359,It's a Wonderful Life (1946),1
359,Edward Scissorhands (1990),6to10
359,Contact (1997),1to5
359,Toy Story (1995),1
359,"Godfather, The (1972)",1to5
359,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),1to5
359,"Goonies, The (1985)",1to5
359,"Lion King, The (1994)",1
361,Total Recall (1990),1to5
361,Monty Python's Life of Brian (1979),6to10
361,Star Wars: Episode V - The Empire Strikes Back (1980),6to10
361,Men in Black (a.k.a. MIB) (1997),6to10
361,"Matrix, The (1999)",1to5
361,Terminator 2: Judgment Day (1991),6to10
361,"Rock, The (1996)",1to5
361,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",gt10
361,National Treasure (2004),6to10
361,"Fifth Element, The (1997)",1to5
366,Pirates of the Caribbean: The Curse of the Black Pearl (2003),1to5
366,Apollo 13 (1995),6to10
366,"Fugitive, The (1993)",1to5
366,Lethal Weapon 3 (1992),1to5
366,Star Wars: Episode IV - A New Hope (1977),1to5
366,"Rock, The (1996)",1to5
366,Maverick (1994),1to5
366,Pirates of the Caribbean: Dead Man's Chest (2006),1to5
366,Monsoon Wedding (2001),1to5
366,"Shawshank Redemption, The (1994)",1to5
370,Twister (1996),gt10
370,Austin Powers: International Man of Mystery (1997),gt10
370,Life Is Beautiful (La Vita è bella) (1997),gt10
370,Being John Malkovich (1999),gt10
370,Dumb & Dumber (1994),gt10
370,Lethal Weapon 3 (1992),gt10
370,Independence Day (a.k.a. ID4) (1996),gt10
370,Wild Wild West (1999),gt10
370,Kill Bill: Vol. 1 (2003),gt10
370,"Blair Witch Project, The (1999)",gt10
369,Mission: Impossible II (2000),1
369,Titanic (1997),6to10
369,Terminator 2: Judgment Day (1991),gt10
369,Charlie's Angels (2000),6to10
369,Life Is Beautiful (La Vita è bella) (1997),1to5
369,Aladdin (1992),1
369,"Lord of the Rings: The Two Towers, The (2002)",1
369,"Little Princess, A (1995)",1
369,Monsoon Wedding (2001),1
369,Slumdog Millionaire (2008),1to5
371,Minority Report (2002),1to5
371,Pirates of the Caribbean: Dead Man's Chest (2006),1
371,Into the Wild (2007),-1
371,Mission: Impossible II (2000),1to5
371,"Matrix Reloaded, The (2003)",1
371,"Godfather, The (1972)",6to10
371,Aladdin (1992),6to10
371,Toy Story (1995),1to5
371,Titanic (1997),6to10
371,National Treasure (2004),1to5
372,National Treasure (2004),gt10
372,Schindler's List (1993),gt10
372,"Day After Tomorrow, The (2004)",gt10
372,Kill Bill: Vol. 1 (2003),6to10
372,Fight Club (1999),1to5
372,Twister (1996),gt10
372,"Matrix Reloaded, The (2003)",1to5
372,Memento (2000),gt10
372,Die Hard (1988),gt10
372,Mission: Impossible II (2000),gt10
375,Kill Bill: Vol. 2 (2004),6to10
375,Groundhog Day (1993),1to5
375,"Matrix Reloaded, The (2003)",gt10
375,Star Wars: Episode VI - Return of the Jedi (1983),gt10
375,Kill Bill: Vol. 1 (2003),6to10
375,Memento (2000),6to10
375,American History X (1998),gt10
375,True Lies (1994),1to5
375,Dogma (1999),gt10
375,"Wizard of Oz, The (1939)",gt10
376,Saving Private Ryan (1998),1to5
376,Star Wars: Episode VI - Return of the Jedi (1983),1to5
376,Schindler's List (1993),6to10
376,Back to the Future (1985),6to10
376,Charlie's Angels (2000),1to5
376,One Flew Over the Cuckoo's Nest (1975),6to10
376,"Fugitive, The (1993)",gt10
376,Twister (1996),gt10
376,Jurassic Park (1993),1to5
376,Mission: Impossible II (2000),1to5
378,Jurassic Park (1993),1
378,Clear and Present Danger (1994),1
378,Waterworld (1995),1to5
378,Seven Samurai (Shichinin no samurai) (1954),1to5
378,Princess Mononoke (Mononoke-hime) (1997),1
378,Charlie's Angels (2000),6to10
378,Fight Club (1999),1
378,Dark City (1998),1to5
378,"English Patient, The (1996)",6to10
378,Forrest Gump (1994),1
380,American Beauty (1999),gt10
380,Taxi Driver (1976),6to10
380,Dark City (1998),gt10
380,"Lion King, The (1994)",6to10
380,Star Wars: Episode IV - A New Hope (1977),gt10
380,Titanic (1997),gt10
380,Six Days Seven Nights (1998),6to10
380,"Godfather, The (1972)",gt10
380,Beauty and the Beast (1991),6to10
380,Men in Black (a.k.a. MIB) (1997),gt10
381,"Mask, The (1994)",6to10
381,Aliens (1986),6to10
381,Alien (1979),6to10
381,Aladdin (1992),1to5
381,"Pianist, The (2002)",6to10
381,"Lion King, The (1994)",1to5
381,Men in Black (a.k.a. MIB) (1997),1to5
381,Schindler's List (1993),1to5
381,Independence Day (a.k.a. ID4) (1996),6to10
381,Titanic (1997),6to10
382,Pirates of the Caribbean: Dead Man's Chest (2006),6to10
382,Slumdog Millionaire (2008),gt10
382,Titanic (1997),gt10
382,Jurassic Park (1993),gt10
382,"Lion King, The (1994)",gt10
382,Beauty and the Beast (1991),6to10
382,Pi (1998),6to10
382,Batman Forever (1995),6to10
382,Pulp Fiction (1994),6to10
382,Fight Club (1999),6to10
386,Men in Black (a.k.a. MIB) (1997),1to5
386,Pi (1998),1to5
386,Titanic (1997),1to5
387,Men in Black (a.k.a. MIB) (1997),6to10
387,"Lion King, The (1994)",1to5
387,"Wizard of Oz, The (1939)",1to5
387,Toy Story (1995),1to5
387,Titanic (1997),1
387,Terminator 2: Judgment Day (1991),1to5
387,Mission: Impossible II (2000),6to10
387,Jurassic Park (1993),1
387,Batman (1989),6to10
387,"Mask, The (1994)",6to10
390,Back to the Future (1985),gt10
390,Jurassic Park (1993),gt10
390,"Matrix, The (1999)",gt10
390,Apocalypse Now (1979),gt10
390,Schindler's List (1993),gt10
390,Star Wars: Episode IV - A New Hope (1977),gt10
390,Maverick (1994),gt10
390,Titanic (1997),6to10
390,Beauty and the Beast (1991),6to10
390,"Day After Tomorrow, The (2004)",1to5
388,"Blair Witch Project, The (1999)",gt10
388,Schindler's List (1993),gt10
388,Lethal Weapon 3 (1992),gt10
388,Alien (1979),gt10
388,Reservoir Dogs (1992),gt10
388,"English Patient, The (1996)",gt10
388,Men in Black (a.k.a. MIB) (1997),gt10
388,Mulholland Drive (2001),gt10
388,Toy Story (1995),gt10
388,Back to the Future (1985),gt10
391,Natural Born Killers (1994),1to5
391,Fargo (1996),1to5
391,Seven (a.k.a. Se7en) (1995),1to5
391,Pirates of the Caribbean: The Curse of the Black Pearl (2003),1to5
391,Kill Bill: Vol. 1 (2003),1
391,"Godfather: Part II, The (1974)",1
391,Reservoir Dogs (1992),1to5
391,American History X (1998),1to5
391,Forrest Gump (1994),1to5
391,"Lion King, The (1994)",1to5
392,National Treasure (2004),6to10
392,"O Brother, Where Art Thou? (2000)",6to10
392,Forrest Gump (1994),1
392,It's a Wonderful Life (1946),1
392,Fight Club (1999),6to10
392,You've Got Mail (1998),gt10
392,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),gt10
392,Batman Forever (1995),gt10
392,Pulp Fiction (1994),1
392,Toy Story (1995),gt10
393,Terminator 2: Judgment Day (1991),gt10
393,Ace Ventura: When Nature Calls (1995),gt10
393,Jurassic Park (1993),gt10
393,Six Days Seven Nights (1998),gt10
393,Mission: Impossible II (2000),gt10
393,Independence Day (a.k.a. ID4) (1996),gt10
393,Bend It Like Beckham (2002),gt10
393,"Mask, The (1994)",gt10
393,Titanic (1997),gt10
393,True Lies (1994),gt10
395,Apocalypse Now (1979),1to5
395,"Day After Tomorrow, The (2004)",1to5
395,Pulp Fiction (1994),1to5
395,Mrs. Doubtfire (1993),1to5
395,"Godfather: Part II, The (1974)",1to5
395,"Fifth Element, The (1997)",1to5
395,Mulholland Drive (2001),1to5
395,Seven (a.k.a. Se7en) (1995),1to5
395,Die Hard (1988),1to5
395,Minority Report (2002),1to5
394,Kill Bill: Vol. 1 (2003),6to10
394,Titanic (1997),6to10
394,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),6to10
394,Batman (1989),gt10
394,Mrs. Doubtfire (1993),gt10
394,Men in Black (a.k.a. MIB) (1997),6to10
394,"Godfather: Part II, The (1974)",gt10
394,"Usual Suspects, The (1995)",gt10
394,Die Hard (1988),6to10
394,My Cousin Vinny (1992),1to5
401,It's a Wonderful Life (1946),1
401,"Lion King, The (1994)",1
401,Beauty and the Beast (1991),1
401,Blade Runner (1982),1to5
401,Jurassic Park (1993),1to5
401,Kill Bill: Vol. 1 (2003),6to10
401,Amadeus (1984),gt10
401,Star Wars: Episode VI - Return of the Jedi (1983),1
401,Forrest Gump (1994),gt10
401,Men in Black (a.k.a. MIB) (1997),gt10
400,Jurassic Park (1993),gt10
400,"Lion King, The (1994)",1to5
400,Pirates of the Caribbean: The Curse of the Black Pearl (2003),gt10
400,Toy Story (1995),1
400,Titanic (1997),gt10
400,While You Were Sleeping (1995),1
400,Apocalypse Now (1979),gt10
400,Beauty and the Beast (1991),1
400,"Wizard of Oz, The (1939)",gt10
400,Pirates of the Caribbean: Dead Man's Chest (2006),gt10
406,Charlie's Angels (2000),6to10
406,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1to5
406,"Fifth Element, The (1997)",gt10
406,"Lion King, The (1994)",6to10
406,National Treasure (2004),1
406,"Day After Tomorrow, The (2004)",1
406,Men in Black (a.k.a. MIB) (1997),1
406,Maverick (1994),1
406,Austin Powers: International Man of Mystery (1997),1
406,Toy Story (1995),1to5
407,Back to the Future (1985),1to5
407,Jurassic Park (1993),gt10
407,"Fugitive, The (1993)",gt10
407,Forrest Gump (1994),1
407,Toy Story (1995),1
407,American Beauty (1999),gt10
407,It's a Wonderful Life (1946),1
407,Babe (1995),gt10
407,Schindler's List (1993),gt10
407,Saving Private Ryan (1998),gt10
409,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),gt10
409,Clerks (1994),gt10
409,Billy Elliot (2000),gt10
409,American History X (1998),6to10
409,"English Patient, The (1996)",gt10
409,Babe (1995),gt10
409,Star Wars: Episode IV - A New Hope (1977),6to10
409,"Fifth Element, The (1997)",gt10
409,Life Is Beautiful (La Vita è bella) (1997),6to10
409,American Beauty (1999),6to10
433,Trainspotting (1996),1
433,Pirates of the Caribbean: The Curse of the Black Pearl (2003),1to5
433,Seven (a.k.a. Se7en) (1995),6to10
433,Pulp Fiction (1994),1to5
433,Forrest Gump (1994),6to10
433,"Clockwork Orange, A (1971)",1
433,Life Is Beautiful (La Vita è bella) (1997),6to10
433,Kill Bill: Vol. 2 (2004),1to5
433,Memento (2000),6to10
433,Kill Bill: Vol. 1 (2003),1to5
436,Taxi Driver (1976),1
436,Star Wars: Episode VI - Return of the Jedi (1983),-1
436,Princess Mononoke (Mononoke-hime) (1997),1
436,My Cousin Vinny (1992),1
436,"Little Princess, A (1995)",gt10
436,Beauty and the Beast (1991),1
436,Six Days Seven Nights (1998),gt10
436,Natural Born Killers (1994),1
436,True Lies (1994),1
436,American History X (1998),gt10
439,Men in Black (a.k.a. MIB) (1997),1
439,"Matrix, The (1999)",1
439,Charlie's Angels (2000),1
439,Chinatown (1974),1
439,Titanic (1997),1
439,Star Wars: Episode V - The Empire Strikes Back (1980),1to5
439,Star Wars: Episode VI - Return of the Jedi (1983),1
439,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1to5
439,Pi (1998),1
439,Pirates of the Caribbean: Dead Man's Chest (2006),1
441,Groundhog Day (1993),1
441,Mrs. Doubtfire (1993),1
441,"Lord of the Rings: The Two Towers, The (2002)",1
441,Twister (1996),1
441,Beetlejuice (1988),1
441,My Cousin Vinny (1992),1
441,Willy Wonka & the Chocolate Factory (1971),1
441,"Goonies, The (1985)",1
441,Kill Bill: Vol. 1 (2003),1to5
441,Men in Black (a.k.a. MIB) (1997),1
446,"Mask, The (1994)",6to10
446,"Rock, The (1996)",6to10
446,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),1to5
446,Willy Wonka & the Chocolate Factory (1971),6to10
446,Edward Scissorhands (1990),1to5
446,Star Wars: Episode VI - Return of the Jedi (1983),1to5
446,Charlie's Angels (2000),1to5
446,Babe (1995),6to10
446,Beetlejuice (1988),6to10
446,Bend It Like Beckham (2002),1to5
447,Back to the Future (1985),1to5
447,Fight Club (1999),1to5
447,"Matrix, The (1999)",1to5
447,Star Wars: Episode IV - A New Hope (1977),1to5
447,Willy Wonka & the Chocolate Factory (1971),6to10
447,Toy Story (1995),6to10
447,Titanic (1997),6to10
448,"Shawshank Redemption, The (1994)",1to5
448,Total Recall (1990),1to5
448,Taxi Driver (1976),1to5
448,Six Days Seven Nights (1998),1to5
448,"Godfather, The (1972)",1to5
448,Titanic (1997),gt10
448,Toy Story (1995),gt10
448,Mission: Impossible II (2000),6to10
448,Seven Samurai (Shichinin no samurai) (1954),1to5
448,Memento (2000),1
450,Titanic (1997),1
450,Seven Samurai (Shichinin no samurai) (1954),1to5
450,Toy Story (1995),6to10
450,Terminator 2: Judgment Day (1991),1to5
450,"Fifth Element, The (1997)",1
450,Dead Man Walking (1995),1
450,Back to the Future (1985),1to5
450,Aladdin (1992),1
450,"Lord of the Rings: The Two Towers, The (2002)",1to5
450,Star Wars: Episode V - The Empire Strikes Back (1980),1to5
456,One Flew Over the Cuckoo's Nest (1975),6to10
456,Alien (1979),-1
456,"Lion King, The (1994)",gt10
456,American History X (1998),6to10
456,Die Hard (1988),6to10
456,Blade Runner (1982),1
456,Terminator 2: Judgment Day (1991),6to10
456,Apocalypse Now (1979),6to10
456,Titanic (1997),6to10
456,Blue Velvet (1986),gt10
461,"Mask, The (1994)",6to10
461,Apollo 13 (1995),1
461,"Silence of the Lambs, The (1991)",1
461,Ace Ventura: When Nature Calls (1995),6to10
461,Pirates of the Caribbean: Dead Man's Chest (2006),6to10
461,"Fugitive, The (1993)",1to5
461,National Treasure (2004),1to5
461,Alien (1979),6to10
461,Star Wars: Episode VI - Return of the Jedi (1983),6to10
461,Titanic (1997),1to5
468,Clear and Present Danger (1994),gt10
468,"South Park: Bigger, Longer and Uncut (1999)",gt10
468,Apollo 13 (1995),6to10
468,"Fugitive, The (1993)",gt10
468,Braveheart (1995),gt10
468,Life Is Beautiful (La Vita è bella) (1997),gt10
468,Beauty and the Beast (1991),gt10
468,While You Were Sleeping (1995),6to10
468,Seven Samurai (Shichinin no samurai) (1954),gt10
468,Fargo (1996),6to10
495,Ace Ventura: Pet Detective (1994),1to5
495,"Shawshank Redemption, The (1994)",1
495,"Matrix, The (1999)",1to5
495,Terminator 2: Judgment Day (1991),1to5
495,Forrest Gump (1994),1
495,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),1
495,Fight Club (1999),6to10
495,Toy Story (1995),1to5
495,Independence Day (a.k.a. ID4) (1996),gt10
495,Dumb & Dumber (1994),6to10
