UID,movie,how_long_ago
102,Eternal Sunshine of the Spotless Mind (2004),1to5
102,"Godfather, The (1972)",gt10
102,"Lion King, The (1994)",gt10
102,American History X (1998),6to10
102,"Lord of the Rings: The Two Towers, The (2002)",6to10
102,Men in Black (a.k.a. MIB) (1997),6to10
102,Slumdog Millionaire (2008),6to10
102,Austin Powers: International Man of Mystery (1997),gt10
102,Pirates of the Caribbean: Dead Man's Chest (2006),1to5
102,Dances with Wolves (1990),gt10
100,Titanic (1997),gt10
100,"Lion King, The (1994)",gt10
100,Batman (1989),gt10
100,Pretty Woman (1990),6to10
100,Toy Story (1995),6to10
100,Life Is Beautiful (La Vita è bella) (1997),6to10
100,Men in Black (a.k.a. MIB) (1997),6to10
100,Batman Forever (1995),1to5
100,"Godfather: Part II, The (1974)",6to10
100,Maverick (1994),6to10
103,Beauty and the Beast (1991),-1
103,American Beauty (1999),gt10
103,"Matrix Reloaded, The (2003)",6to10
103,Jurassic Park (1993),1to5
103,Slumdog Millionaire (2008),6to10
103,National Treasure (2004),1to5
103,"Day After Tomorrow, The (2004)",6to10
103,Dark City (1998),1to5
103,Waterworld (1995),6to10
103,"Lion King, The (1994)",6to10
105,Natural Born Killers (1994),gt10
105,Die Hard (1988),gt10
105,Reservoir Dogs (1992),gt10
105,"Day After Tomorrow, The (2004)",gt10
105,Chinatown (1974),gt10
105,Being John Malkovich (1999),gt10
105,Waterworld (1995),gt10
105,Contact (1997),gt10
105,"Fugitive, The (1993)",gt10
105,One Flew Over the Cuckoo's Nest (1975),gt10
106,Kill Bill: Vol. 2 (2004),1to5
106,"Matrix Reloaded, The (2003)",1to5
106,Star Wars: Episode IV - A New Hope (1977),1to5
106,Twister (1996),1to5
106,Back to the Future Part III (1990),6to10
106,National Treasure (2004),1to5
106,Batman (1989),1to5
106,Terminator 2: Judgment Day (1991),1to5
106,Pirates of the Caribbean: Dead Man's Chest (2006),1to5
106,Charlie's Angels (2000),1to5
108,Star Wars: Episode V - The Empire Strikes Back (1980),1
